Date,Text
Date,Text
Date,Text
Date,Text
2020-02-05 06:35:40,"b'RT @JamesMilner: Outstanding performance from the boys, Critch and his staff &amp; fantastic turn out from the fans \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb #younggunsfiring #FACup\xe2\x80\xa6'"
2020-02-05 06:35:34,"b'RT @joehardyy: What a night!! My @LFC debut in an unreal performance from the lads! Unbelievable support from the fans, I hope we did you a\xe2\x80\xa6'"
2020-02-05 06:34:48,b'RT @trentaa98: Yes boys \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x94\xb4 #YNWA'
2020-02-05 06:34:45,"b""Well done to the U23's for doing us proud.\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbd\n\n#YNWA \n#LFC\n#LIVS\xd9\x8cHR\n#FACup"""
2020-02-05 06:34:39,"b'RT @joehardyy: What a night!! My @LFC debut in an unreal performance from the lads! Unbelievable support from the fans, I hope we did you a\xe2\x80\xa6'"
2020-02-05 06:34:37,b'RT @trentaa98: Yes boys \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x94\xb4 #YNWA'
2020-02-05 06:33:49,b'@DavidJRice83 My Liverpool beard is fierce since our last loss in April !! #YNWA going to the last home game at anfield this year !!'
2020-02-05 06:33:10,"b'RT @joehardyy: What a night!! My @LFC debut in an unreal performance from the lads! Unbelievable support from the fans, I hope we did you a\xe2\x80\xa6'"
2020-02-05 06:32:59,b'RT @SamanthaQuek: \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb \nThe kids were brilliant tonight. \n\nFought for the badge and defended fortress Anfield with pride.\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb The future lo\xe2\x80\xa6'
2020-02-05 06:32:16,"b'""He trained with us yesterday... He was giving words of advice to the players, vocal in the dressing room. I can\'t\xe2\x80\xa6 https://t.co/MsbCqjCfXn'"
2020-02-05 06:32:05,b'RT @andrewrobertso5: GO ON THE BOYS \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xe2\x9d\xa4\xef\xb8\x8f #YNWA'
2020-02-05 06:32:01,"b'RT @twt_liverpool: Muda\nHarapan digalas\nBright, bright future ahead\n\n... kudos to Critchley and our U23 team... #ynwa \n\nWE SHUT THEM UP!!!\xe2\x80\xa6'"
2020-02-05 06:31:59,"b'RT @joehardyy: What a night!! My @LFC debut in an unreal performance from the lads! Unbelievable support from the fans, I hope we did you a\xe2\x80\xa6'"
2020-02-05 06:31:59,"b""Good morning Boss. Am just as amazed as every other of your subscribers who wins your games. Haven't been disappoin\xe2\x80\xa6 https://t.co/p23kCQqUOq"""
2020-02-05 06:31:58,b'RT @andrewrobertso5: GO ON THE BOYS \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xe2\x9d\xa4\xef\xb8\x8f #YNWA'
