,Unnamed: 0,index,user_id,created_at,text,state,county,category
17,15685,269,45896425,8/25/2017,"couldn't make it to the planned spot, so we'll have a drink here and then shelter at home. #staysafe #harvey... https://t.co/trnceky5ee",Texas,Bexar County,home
31,15893,553,33616355,8/25/2017,finished up a strong first week of school and training. #riceowls #hurricaneharvey #hunkereddown?? https://t.co/ccetbcb9d5,Texas,Harris County,home
36,15940,611,24572519,8/25/2017,the calm before the #storm #harvey #hurricaneharvey #home #theheights #houston #shadyacres?? https://t.co/yuouzwwlwv,Texas,Harris County,home
38,15949,625,35087398,8/25/2017,"tornado warned cell, angleton, tx #txwx #harvey @ angleton, texas https://t.co/2oshusck8l",Texas,Brazoria County,power
76,16255,130,335849549,8/25/2017,"bracing for harvey: resources for shelter, food, supplies, and transportation: with residents of the?? https://t.co/8vedzmwbns #teamninja",Texas,Bexar County,home
124,16664,652,{'$numberLong': '2584883467'},8/26/2017,"anyway down for some 8-ball, since i can't leave the house because of #hurricaneharvey????? @?? https://t.co/2s8mvuuc3c",Texas,Harris County,home
150,16894,83,{'$numberLong': '2452074182'},8/26/2017,hi beauties! so theres a big chance we will be loosing power due too #hurricaneharvey but i?? https://t.co/h1nauged7w,Texas,Travis County,power
155,16919,115,{'$numberLong': '868149620471410690'},8/26/2017,blessed a person with no shelter today! pay it forward! be safe ????????????? #hurricaneharvey #safety @?? https://t.co/5hmxrafeu7,Texas,Harris County,home
200,17366,713,16229143,8/26/2017,a couple kisses before boarding a bus to evacuate corpus christi as hurricane harvey bears down?? https://t.co/ymefdnljps,Texas,Nueces County,transportation
217,17465,848,10659542,8/26/2017,"yo, harvey, you wanna talk about clouds?! @ the house of t, t, &amp; v https://t.co/kwst7d6pxm",Texas,Harris County,home
228,17532,47,32291518,8/26/2017,"#makeshift #hurricane #hardened #chicken #shelter! #hurricaneharvey #bringiton! @ san antonio,?? https://t.co/dawfrfxx84",Texas,Bexar County,home
235,17570,96,18410825,8/26/2017,"internet i am done with you!!! #hurricaneharvey @ westside, houston,?? https://t.co/xay2zg8x4f",Texas,Harris County,power
282,17970,628,{'$numberLong': '2870854426'},8/26/2017,"while some of houston's homeless seek shelter, others try to tough out harvey https://t.co/uhfyrynnvh",Texas,Harris County,home
286,17975,634,58624342,8/26/2017,developing- 63 thousand people without power in the corpus christi area. hurricaneharvey https://t.co/gxh1u5uoic,Texas,Dallas County,power
361,18554,519,1186584054,8/26/2017,"it's been a long day, now #harvey has arrived and done snatched my lights off! ????????????
#lightsout?? https://t.co/kdsyjndzfy",Texas,Harris County,power
370,18688,688,32272048,8/26/2017,pre #hurricaneharvey #sunset #southaustin #southawesome #blackandwhitephoto #mothernature #power?? https://t.co/vjecsapa16,Texas,Travis County,power
422,19391,760,58624342,8/26/2017,"power outages from hurricane harvey top 200,000 as storm moves inland. https://t.co/crnhr0x2j7",Texas,Dallas County,power
424,19440,824,58624342,8/26/2017,aransas pass police watched this harbor building being torn apart by hurricane harvey winds https://t.co/ro3vysiji6,Texas,Dallas County,home
432,19541,79,58624342,8/26/2017,"hurricaneharvey downgraded to category 2 storm, 211k texans without power https://t.co/pzkuaqvygo",Texas,Dallas County,power
439,19690,260,16111173,8/26/2017,"power lines took a beating overnight #harvey @weatherchannel @ victoria, texas https://t.co/chnyp3xhjr",Texas,Victoria County,power
442,19757,341,16111173,8/26/2017,#harvey's winds are howling through this building. #instacreepy @weatherchannel reynoldswolf @?? https://t.co/gxtxo4n64f,Texas,Victoria County,home
453,19958,604,14409959,8/26/2017,"my own #hurricaneharvey morning party...coffee by candlelight. i have power, just enjoying the?? https://t.co/gyiqr1mmdr",Texas,Harris County,power
487,20569,604,235424097,8/26/2017,"light wind and drizzle in #leander at the moment. #hurricaneharvey @ block house creek, leander,?? https://t.co/wuamsnyrds",Texas,Williamson County,home
491,20752,6,58624342,8/26/2017,second shelter opens in dallas for texans fleeing hurricane harvey https://t.co/bh3iswzpdv,Texas,Dallas County,home
495,21117,490,58624342,8/26/2017,volunteers from dallas national guard arrive at american red cross shelter in houston to help with hurricaneharvey?? https://t.co/ki2gisnlgu,Texas,Dallas County,home
507,21392,875,{'$numberLong': '3231644084'},8/26/2017,"we're staying safe at home but keeping our eye on #harvey. @ northeast san antonio, san antonio,?? https://t.co/oo2qwdnqv2",Texas,Bexar County,home
520,21594,242,287413583,8/26/2017,???????????????? i got jokes! #hurricaneharvey #hurricane #harvey #power #netflix #jokes #goodmorningpost?? https://t.co/2ubx2unzes,Texas,Harris County,power
547,22029,795,615262788,8/26/2017,super er team! nobody gets to go home because hurricane harvey is out and about!!! as long as?? https://t.co/6iwv8azozc,Texas,Harris County,home
613,23869,618,125091103,8/26/2017,"husband in icu. hurricane harvey prevents me from visiting him, threatens my home with flooding?? https://t.co/r785t7ci2z",Texas,Harris County,home
622,23966,753,25492837,8/26/2017,"it's not raining on my house right now... #hurricaneharvey @ spring, texas https://t.co/hpjwlj0hin",Texas,Harris County,home
623,23973,763,38289938,8/26/2017,#hurricaneharvey here at home hunkering down... #saturday #rain?? https://t.co/lxnhbw3ht3,Texas,Bexar County,home
625,23994,787,{'$numberLong': '2803156842'},8/26/2017,"this is highway robbery smh #harveysux @ houston, texas https://t.co/ctznknnajz",Texas,Harris County,transportation
664,24647,772,20733629,8/26/2017,#hurricaneharvey can't keep #apqs down! our road show is set and ready to start on time! @ over?? https://t.co/i6hfmzhiz5,Texas,Williamson County,transportation
669,24714,854,1016641298,8/26/2017,had to make a detour before i went home!! hurricane harvey cheat day!! @ krispy kreme westheimer https://t.co/0kgnxeutyu,Texas,Harris County,home
676,24831,135,28255515,8/26/2017,just waiting for a dry road. #hennessey #twinturbo #lamborghini #pennzoil #harvey @ hennessey?? https://t.co/jpom6dc9q3,Texas,Austin County,transportation
