,index,user_id,created_at,text,state,county
5426,14,{'$numberLong': '2307660186'},8/20/2017,my dollface take the world by storm do what you do best and,Texas,Waller County
7431,800,30782296,8/20/2017,it be great to meet the next senator from the great state of texas beto rourke harvey,Texas,Brazos County
7697,292,350474324,8/20/2017,abram tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 100,Texas,Hidalgo County
7698,293,492491698,8/20/2017,adam garden tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 99,Texas,Cameron County
7699,294,352837528,8/20/2017,addicks barker tx sun aug 20th pm forecast tonight chance of storm lo 79 monday chance of storm hi 91,Texas,Harris County
7701,296,492500684,8/20/2017,arroyo tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 99,Texas,Cameron County
7706,301,492812240,8/20/2017,avondale tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 99,Texas,Cameron County
7708,303,351112123,8/20/2017,brownsville tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 99,Texas,Cameron County
7711,306,350470641,8/20/2017,chihuahua tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 100,Texas,Hidalgo County
7712,307,350474226,8/20/2017,citrus city tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 100,Texas,Hidalgo County
7715,311,351070278,8/20/2017,edinburg tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 100,Texas,Hidalgo County
7716,312,351071861,8/20/2017,faysville tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 100,Texas,Hidalgo County
7724,320,350479856,8/20/2017,granjeno tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 100,Texas,Hidalgo County
7735,332,492819044,8/20/2017,harlingen tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 99,Texas,Cameron County
7736,333,350484546,8/20/2017,havana tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 100,Texas,Hidalgo County
7737,334,351269059,8/20/2017,houston tx sun aug 20th pm forecast tonight chance of storm lo 79 monday chance of storm hi 91,Texas,Harris County
7740,337,492833176,8/20/2017,kayare tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 99,Texas,Cameron County
7742,340,351073887,8/20/2017,lull tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 100,Texas,Hidalgo County
7743,341,350487210,8/20/2017,madero tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 100,Texas,Hidalgo County
7746,344,350489915,8/20/2017,mission tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 100,Texas,Hidalgo County
7748,346,350492371,8/20/2017,palmhurst tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 100,Texas,Hidalgo County
7749,347,350494798,8/20/2017,palmview tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 100,Texas,Hidalgo County
7750,348,350498943,8/20/2017,perezville tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 100,Texas,Hidalgo County
7751,349,492836924,8/20/2017,primera tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 99,Texas,Cameron County
7753,351,492374873,8/20/2017,ramona tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 100,Texas,Hidalgo County
7755,354,351075759,8/20/2017,red gate tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 100,Texas,Hidalgo County
7761,361,351078623,8/20/2017,san carlos tx sun aug 20th pm forecast tonight mostly clear lo 79 monday chance of storm hi 100,Texas,Hidalgo County
